,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
570,70,2143,289,1108,1194,1437,1437,1437
571,71,2143,251,672,1021,1256,1256,1256
572,72,2143,728,802,812,1001,1001,1001
573,73,2143,149,655,703,1059,1059,1059
574,74,2143,89,137,178,395,395,395
575,75,2143,1950,3269,3345,3433,3433,3433
576,76,2143,52,203,215,278,278,278
577,77,2143,141,1426,1474,1528,1528,1528
578,78,2143,79,214,245,306,306,306
579,79,2143,663,1562,1677,1709,1709,1709
580,80,2143,795,8111,8469,8517,8517,8517
581,81,2143,190,351,428,491,491,491
582,82,2143,165,381,2776,3032,3032,3032
583,83,2143,413,492,553,816,816,816
584,84,2143,127,188,229,712,712,712
585,85,2143,75,115,252,339,339,339
586,86,2143,110,235,527,831,831,831
587,87,2143,802,1308,1408,1663,1663,1663
588,88,2143,248,376,405,563,563,563
589,89,2143,478,776,788,1184,1184,1184
590,90,2143,303,617,870,1225,1225,1225
591,91,2143,273,637,781,939,939,939
592,92,2143,107,496,797,897,897,897
593,93,2143,136,235,304,797,797,797
594,94,2143,261,1345,1441,2066,2066,2066
595,95,2143,135,414,426,501,501,501
596,96,2143,232,526,586,1082,1082,1082
597,97,2143,1112,1431,1658,1720,1720,1720
598,98,2143,203,249,268,388,388,388
599,99,2143,208,2651,2801,3111,3111,3111
600,0,2144,3025,3080,3131,3402,3402,3402
601,1,2144,123,247,1045,1180,1180,1180
602,2,2144,75,117,143,611,611,611
603,3,2144,71,134,352,438,438,438
604,4,2144,431,489,510,621,621,621
605,5,2144,89,257,374,441,441,441
606,6,2144,365,516,542,587,587,587
607,7,2144,580,710,1295,1376,1376,1376
608,8,2144,188,216,253,1264,1264,1264
609,9,2144,90,237,259,280,280,280
610,10,2144,62,82,97,132,132,132
611,11,2144,52,106,116,139,139,139
612,12,2144,171,231,334,521,521,521
613,13,2144,134,1407,1578,1703,1703,1703
614,14,2144,302,378,394,570,570,570
615,15,2144,266,343,537,1415,1415,1415
616,16,2144,535,615,816,3657,3657,3657
617,17,2144,2136,2893,3146,3193,3193,3193
618,18,2144,59,252,734,742,742,742
619,19,2144,53,4514,4522,4599,4599,4599
620,20,2144,115,451,470,1798,1798,1798
621,21,2144,233,565,630,875,875,875
622,22,2144,125,161,519,868,868,868
623,23,2144,76,111,206,243,243,243
624,24,2144,109,156,248,618,618,618
625,25,2144,2679,5664,5807,5836,5836,5836
626,26,2144,607,711,720,863,863,863
627,27,2144,155,2240,2251,2288,2288,2288
628,28,2144,377,584,652,724,724,724
629,29,2144,62,117,475,536,536,536
630,30,2144,132,233,271,642,642,642
631,31,2144,55,140,179,259,259,259
632,32,2144,321,392,396,4752,4752,4752
633,33,2144,178,880,906,1142,1142,1142
634,34,2144,89,229,434,557,557,557
635,35,2144,2684,2891,2940,3105,3105,3105
636,36,2144,54,195,840,1019,1019,1019
637,37,2144,77,177,199,326,326,326
638,38,2144,2562,2757,3000,3448,3448,3448
639,39,2144,153,283,816,1039,1039,1039
640,40,2144,315,326,414,486,486,486
641,41,2144,4948,4981,5099,5277,5277,5277
